Birleşik Belirtiler;Triyaj Cevap
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
yüzümde ani bir kayma oldu ve konuşamıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
vücudumda hafif kaşıntı ve kızarıklıklar var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor şikayetim var;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
boğazım hafif yanıyor ve kuru öksürüğüm var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
vücudumda hafif kaşıntı ve kızarıklıklar var şikayetim var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
yüzümde ani bir kayma oldu ve konuşamıyorum durumu yaşıyorum;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
yanlışlıkla evdeki temizlik ürünlerinden içtim ayrıca biraz halsizim;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve midem bulanıyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
vücudumda hafif kaşıntı ve kızarıklıklar var şikayetim var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
boğazım hafif yanıyor ve kuru öksürüğüm var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
burnum akıyor hapşırıyorum ve biraz halsizim ve midem bulanıyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var ve başım dönüyor;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
dün ağır spor yaptım bugün her yerim sızlıyor durumu yaşıyorum;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum ve başım dönüyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
şu an bir sorunum yok her şey yolunda gidiyor ayrıca biraz halsizim;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
hafif bir baş ağrım var sanırım uykusuz kaldım;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
idrarım çok koyulaştı ve göz aklarım sarardı durumu yaşıyorum;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
hafif bir baş ağrım var sanırım uykusuz kaldım ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
burnum akıyor hapşırıyorum ve biraz halsizim ve midem bulanıyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor ve başım dönüyor;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
yanlışlıkla evdeki temizlik ürünlerinden içtim ayrıca biraz halsizim;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
bilincim bulanık nerede olduğumu hatırlayamıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
burnum akıyor hapşırıyorum ve biraz halsizim ve başım dönüyor;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
boğazım hafif yanıyor ve kuru öksürüğüm var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
vücudumda hafif kaşıntı ve kızarıklıklar var ve midem bulanıyor;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
iyiyim şu an hiçbir sağlık şikayetim yok ve başım dönüyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
boğazım hafif yanıyor ve kuru öksürüğüm var;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
dizimin üzerine düştüm çok şişti ve basamıyorum şikayetim var;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
hafif bir baş ağrım var sanırım uykusuz kaldım durumu yaşıyorum;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
dün ağır spor yaptım bugün her yerim sızlıyor durumu yaşıyorum;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
dün ağır spor yaptım bugün her yerim sızlıyor ve başım dönüyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
idrar yaparken çok şiddetli yanma ve sancı var ve midem bulanıyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor ve başım dönüyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
yüzümde ani bir kayma oldu ve konuşamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: İnme (felç) şüphesi! İlk müdahale dakikalar içinde yapılmalıdır. Lütfen hemen 112 acil yardımı çağırın.
idrar yaparken çok şiddetli yanma ve sancı var şikayetim var;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
kendimi gayet enerjik ve sağlıklı hissediyorum durumu yaşıyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
yanlışlıkla evdeki temizlik ürünlerinden içtim ayrıca biraz halsizim;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve midem bulanıyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
hafif bir baş ağrım var sanırım uykusuz kaldım ve başım dönüyor;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
dizimin üzerine düştüm çok şişti ve basamıyorum ve başım dönüyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
dün ağır spor yaptım bugün her yerim sızlıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
vücudumda hafif kaşıntı ve kızarıklıklar var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
vücudumda hafif kaşıntı ve kızarıklıklar var;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
dün ağır spor yaptım bugün her yerim sızlıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum ayrıca biraz halsizim;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor durumu yaşıyorum;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
dün ağır spor yaptım bugün her yerim sızlıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor ayrıca biraz halsizim;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok durumu yaşıyorum;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
yanlışlıkla evdeki temizlik ürünlerinden içtim durumu yaşıyorum;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
burnum akıyor hapşırıyorum ve biraz halsizim durumu yaşıyorum;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
fışkırır tarzda durdurulamayan bir kanamam var ve başım dönüyor;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
karnımın sağ alt tarafı çok şiddetli ağrıyor ayrıca biraz halsizim;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
sol kolum uyuşuyor ve kalbim çok sıkışıyor ve midem bulanıyor;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
bilincim bulanık nerede olduğumu hatırlayamıyorum durumu yaşıyorum;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
kendimi gayet enerjik ve sağlıklı hissediyorum ve başım dönüyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
vücudumda hafif kaşıntı ve kızarıklıklar var ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Hafif bir alerjik reaksiyon olabilir. Yakın zamanda yediğiniz gıdaları kontrol edin, yayılma olursa Cildiye uzmanına görünün.
bilincim bulanık nerede olduğumu hatırlayamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
iyiyim şu an hiçbir sağlık şikayetim yok ayrıca biraz halsizim;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
sol kolum uyuşuyor ve kalbim çok sıkışıyor şikayetim var;🔴 ACİL DURUM: Kardiyak bir kriz belirtisidir. Vakit kaybetmeden bir yakınınızdan yardım isteyin ve en yakın hastanenin acil servisine başvurun.
kulağımdan iltihap geliyor ve iç tarafı çok ağrıyor durumu yaşıyorum;🟡 ORTA RİSK: Orta kulak iltihabı (Otis) olabilir. İşitme kaybı riskine karşı KBB uzmanına muayene olmanız gerekir.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
burnum akıyor hapşırıyorum ve biraz halsizim durumu yaşıyorum;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
kendimi gayet enerjik ve sağlıklı hissediyorum ve başım dönüyor;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
günlerdir geçmeyen şiddetli baş ağrısı ve kusma var durumu yaşıyorum;🟡 ORTA RİSK: Tansiyon yüksekliği veya nörolojik bir durum olabilir. Nöroloji bölümünden randevu almanız önerilir.
idrar yaparken çok şiddetli yanma ve sancı var ve başım dönüyor;🟡 ORTA RİSK: İdrar yolu enfeksiyonu belirtisidir. Bir Üroloji uzmanına görünerek idrar tahlili yaptırmanız ve uygun tedaviye başlamanız önerilir.
boğazım hafif yanıyor ve kuru öksürüğüm var durumu yaşıyorum;🟢 DÜŞÜK RİSK: Farenjit veya boğaz tahrişi başlangıcı. Adaçayı ve ılık içecekler tüketin, boğazınızı sıcak tutun ve dinlenin.
dizimin üzerine düştüm çok şişti ve basamıyorum ve midem bulanıyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
şu an bir sorunum yok her şey yolunda gidiyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok şikayetim var;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok ve midem bulanıyor;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
yanlışlıkla evdeki temizlik ürünlerinden içtim ve midem bulanıyor;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
dün ağır spor yaptım bugün her yerim sızlıyor durumu yaşıyorum;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
dizimin üzerine düştüm çok şişti ve basamıyorum ve başım dönüyor;🟡 ORTA RİSK: Dizde kırık, çatlak veya bağ kopması olabilir. Ortopedi ve Travmatoloji bölümüne başvurarak röntgen çektirmeniz uygun olacaktır.
şu an bir sorunum yok her şey yolunda gidiyor ve başım dönüyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
fışkırır tarzda durdurulamayan bir kanamam var şikayetim var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
şu an bir sorunum yok her şey yolunda gidiyor ve midem bulanıyor;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
kendimi gayet enerjik ve sağlıklı hissediyorum;✅ SAĞLIKLI: Harika! Herhangi bir sağlık sorunu belirtisi göstermiyorsunuz. Rutin kontrollerinizi ihmal etmeden yaşamınıza devam edebilirsiniz.
fışkırır tarzda durdurulamayan bir kanamam var;🔴 ACİL DURUM: Şiddetli damar kanaması! Temiz bir bezle yaranın üzerine sertçe bastırın ve derhal en yakın acil servise gidin.
bilincim bulanık nerede olduğumu hatırlayamıyorum ve midem bulanıyor;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
idrarım çok koyulaştı ve göz aklarım sarardı;🟡 ORTA RİSK: Karaciğer veya safra yollarında bir tıkanıklık olabilir. Dahiliye (İç Hastalıkları) uzmanına görünmeniz gerekmektedir.
burnum akıyor hapşırıyorum ve biraz halsizim şikayetim var;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
şu an bir sorunum yok her şey yolunda gidiyor ayrıca biraz halsizim;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
bilincim bulanık nerede olduğumu hatırlayamıyorum şikayetim var;🔴 ACİL DURUM: Akut bilinç bulanıklığı. Ciddi bir nörolojik veya metabolik sorun olabilir. Acilen tıbbi yardım almanız gerekmektedir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ayrıca biraz halsizim;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
şu an bir sorunum yok her şey yolunda gidiyor şikayetim var;✅ SAĞLIKLI: Çok sevindirici. Sağlıklı yaşam alışkanlıklarınızı sürdürmenizi dileriz. Bir şikayetiniz olursa tekrar danışabilirsiniz.
yanlışlıkla evdeki temizlik ürünlerinden içtim;🔴 ACİL DURUM: Kimyasal zehirlenme! Kendinizi asla kusturmaya çalışmayın ve vakit kaybetmeden acil servise başvurun.
hafif bir baş ağrım var sanırım uykusuz kaldım şikayetim var;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
dün ağır spor yaptım bugün her yerim sızlıyor ve midem bulanıyor;🟢 DÜŞÜK RİSK: Yoğun egzersiz sonrası kas yorgunluğu. Magnezyum desteği alabilir, ılık bir duş sonrası dinlenebilirsiniz.
iyiyim şu an hiçbir sağlık şikayetim yok;✅ SAĞLIKLI: Genel sağlık durumunuz oldukça iyi görünüyor. Formunuzu korumak için düzenli uyku ve dengeli beslenmeye devam edin.
hafif bir baş ağrım var sanırım uykusuz kaldım ayrıca biraz halsizim;🟢 DÜŞÜK RİSK: Stres veya yorgunluk kaynaklı baş ağrısı. Karanlık ve sessiz bir ortamda uyumak size iyi gelecektir.
karnımın sağ alt tarafı çok şiddetli ağrıyor;🟡 ORTA RİSK: Apandisit şüphesi olabilir. Durumun netleşmesi için Genel Cerrahi bölümüne muayene olmanız ve ultrason çektirmeniz önerilir.
göğsümde sıkışma ve şiddetli ağrı var nefes alamıyorum ve başım dönüyor;🔴 ACİL DURUM: Kalp krizi riski yüksek! Hareket etmeyi bırakın, derin nefes almaya çalışın ve derhal 112'yi arayın. En yakın acil servise nakliniz hayati önem taşımaktadır.
burnum akıyor hapşırıyorum ve biraz halsizim durumu yaşıyorum;🟢 DÜŞÜK RİSK: Mevsimsel nezle veya viral bir durum. Bol sıvı tüketin, C vitamini alın ve istirahat edin. Belirtiler şiddetlenirse aile hekimine danışın.
